"","Backwater","CollectionDate","PIT1","PIT2","Species","Sex","TL","WT","Status","Method","Month","Year","SizeClass","Event","Disposition","Recapture","LastScan","ScanHr","DateVerified","MaxDAL","MonthName"
"74","Yuma Cove backwater",2018-10-11,"003C06F29B",NA,"XYTE","F",483,1165,"Backwater capture","Trammel",10,2018,2,"Capture","Released","N",2024-08-22,9,2018-10-11,2142,"October"
"75","Yuma Cove backwater",2018-10-11,"003C0724D9",NA,"XYTE","F",567,1805,"Backwater capture","Trammel",10,2018,3,"Capture","Released","N",2024-06-30,17,2018-10-11,2089,"October"
"76","Yuma Cove backwater",2020-02-12,"003D7727A8",NA,"XYTE","U",354,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,6,2020-02-12,1667,"February"
"77","Yuma Cove backwater",2020-02-12,"003D7727B7",NA,"XYTE","U",384,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,4,2020-02-12,1667,"February"
"78","Yuma Cove backwater",2020-02-12,"003D7727CB",NA,"XYTE","U",342,NA,"Backwater release","Not available",2,2020,1,"Stocking","Released","N",2024-05-18,4,2020-02-12,1557,"February"
"79","Yuma Cove backwater",2020-02-12,"003D7727D2",NA,"XYTE","U",352,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,5,2020-02-12,1667,"February"
"80","Yuma Cove backwater",2020-02-12,"003D7727DB",NA,"XYTE","U",370,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-08-25,19,2020-02-12,1656,"February"
"81","Yuma Cove backwater",2020-02-12,"003D7727DE",NA,"XYTE","U",340,NA,"Backwater release","Not available",2,2020,1,"Stocking","Released","N",2024-09-05,6,2020-02-12,1667,"February"
"82","Yuma Cove backwater",2020-02-12,"003D7727E8",NA,"XYTE","U",360,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,4,2020-02-12,1667,"February"
"83","Yuma Cove backwater",2020-02-12,"003D7727E9",NA,"XYTE","U",370,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,5,2020-02-12,1667,"February"
"84","Yuma Cove backwater",2020-02-12,"003D7727EC",NA,"XYTE","U",385,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,5,2020-02-12,1667,"February"
"85","Yuma Cove backwater",2020-02-12,"003D7727F8",NA,"XYTE","U",374,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-07-05,16,2020-02-12,1605,"February"
"86","Yuma Cove backwater",2020-02-12,"003D7727F9",NA,"XYTE","U",366,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,6,2020-02-12,1667,"February"
"87","Yuma Cove backwater",2020-02-12,"003D7727FB",NA,"XYTE","U",354,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,5,2020-02-12,1667,"February"
"88","Yuma Cove backwater",2020-02-12,"003D772801",NA,"XYTE","U",357,NA,"Backwater release","Not available",2,2020,2,"Stocking","Released","N",2024-09-05,5,2020-02-12,1667,"February"
"89","Yuma Cove backwater",2020-11-04,"003D772D8A",NA,"XYTE","U",505,1315,"Backwater capture","Trammel",11,2020,3,"Capture","Released","N",2024-09-05,6,2020-11-04,1401,"November"
"90","Yuma Cove backwater",2020-11-04,"003D772D8C",NA,"XYTE","U",500,1215,"Backwater capture","Trammel",11,2020,3,"Capture","Released","N",2024-06-19,8,2020-11-04,1323,"November"
"91","Yuma Cove backwater",2020-11-04,"003D772D9D",NA,"XYTE","U",515,1280,"Backwater capture","Trammel",11,2020,3,"Capture","Released","N",2024-06-05,9,2020-11-04,1309,"November"
